rank,company,website,domain,dmarc_record
16,Cardinal Health,http://www.cardinalhealth.com,cardinalhealth.com,"""v=DMARC1; p=none; rua=mailto:dmarcreports@cardinalhealth.com; ruf=mailto:dmarcreports@cardinalhealth.com"""
17,Walgreens Boots Alliance,http://www.walgreensbootsalliance.com,walgreensbootsalliance.com,"""v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:walgreens@rua.agari.com; ruf=mailto:walgreens@ruf.agari.com"""
18,JPMorgan Chase,http://www.jpmorganchase.com,jpmorganchase.com,"""v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1"""
19,Verizon Communications,http://www.verizon.com,verizon.com,"""v=DMARC1; p=quarantine; sp=none; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net; rf=afrf; pct=100"""
20,Kroger,http://www.thekrogerco.com,thekrogerco.com,
21,General Electric,http://www.ge.com,ge.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
22,Fannie Mae,http://www.fanniemae.com,fanniemae.com,"""v=DMARC1; p=reject; sp=reject; rua=mailto:dmarc_agg@vali.email; fo=1"""
23,Phillips 66,http://www.phillips66.com,phillips66.com,"""v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1"""
24,Valero Energy,http://www.valero.com,valero.com,
25,Bank of America,http://www.bankofamerica.com,bankofamerica.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:auth.report_ns@bankofamerica.com; ruf=mailto:bankofamerica@ruf.agari.com"""
26,Microsoft,http://www.microsoft.com,microsoft.com,"""v=DMARC1; p=reject; pct=100; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1"""
27,Home Depot,http://www.homedepot.com,homedepot.com,"""v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com, mailto:c12a9-8208@rua.dmarc.emailanalyst.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com, mailto:c12a9-8208@ruf.dmarc.emailanalyst.com; fo=1; rf=afrf; pct=100;"""
28,Boeing,http://www.boeing.com,boeing.com,"""v=DMARC1;"" ""p=none;"" ""pct=100;"" ""rua=mailto:dmarcreports@boeing.com"""
29,Wells Fargo,http://www.wellsfargo.com,wellsfargo.com,"""v=DMARC1; p=reject; sp=none; fo=1; rua=mailto:dmarc_agg@auth.returnpath.net; ruf=mailto:dmarc_afrf@auth.returnpath.net; rf=afrf; pct=100"""
30,Citigroup,http://www.citigroup.com,citigroup.com,"""v=DMARC1; p=reject; rua=mailto:citi@rua.agari.com,mailto:dmarc.reports.rua@citi.com"""
31,Marathon Petroleum,http://www.marathonpetroleum.com,marathonpetroleum.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
32,Comcast,http://www.comcastcorporation.com,comcastcorporation.com,"""v=DMARC1;p=reject;rua=mailto:dmarc-rua@dmarctest.comcast.net;"""
33,Anthem,http://www.antheminc.com,antheminc.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
34,Dell Technologies,http://www.delltechnologies.com,delltechnologies.com,
35,DuPont de Nemours,http://www.dupont.com,dupont.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
36,State Farm Insurance,http://www.statefarm.com,statefarm.com,"""v=DMARC1; p=none; rua=mailto:state-farm@rua.dmp.cisco.com; ruf=mailto:state-farm@ruf.dmp.cisco.com"""
37,Johnson & Johnson,http://www.jnj.com,jnj.com,"""v=DMARC1; p=reject; sp=quarantine; fo=1; ri=3600; rua=mailto:jnj@rua.dmp.cisco.com; ruf=mailto:jnj@ruf.dmp.cisco.com"""
38,IBM,http://www.ibm.com,ibm.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
39,Target,http://www.target.com,target.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@target.com; ruf=mailto:dmarc_ruf@target.com"""
40,Freddie Mac,http://www.freddiemac.com,freddiemac.com,"""v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email; ruf=mailto:dmarc_reports@freddiemac.com"""
41,United Parcel Service,http://www.ups.com,ups.com,"""v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1"""
42,Lowe's,http://www.lowes.com,lowes.com,"""v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:lowes@rua.agari.com; ruf=mailto:lowes@ruf.agari.com"""
43,Intel,http://www.intel.com,intel.com,"""v=DMARC1;p=none;sp=none;fo=1;rua=mailto:dmarc.notification@intel.com"""
44,MetLife,http://www.metlife.com,metlife.com,"""v=DMARC1;p=none;fo=1;ri=3600;rua=mailto:metlife@rua.dmp.cisco.com;ruf=mailto:metlife@ruf.dmp.cisco.com"""
45,Procter & Gamble,http://www.pg.com,pg.com,"""v=DMARC1; p=none; sp=none; fo=1; ri=3600; rua=mailto:procter-gamble@rua.dmp.cisco.com,mailto:pg@rua.agari.com; ruf=mailto:procter-gamble@ruf.dmp.cisco.com,mailto:pg@ruf.agari.com"""
46,United Technologies,http://www.utc.com,utc.com,"""v=DMARC1; p=none; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
47,FedEx,http://www.fedex.com,fedex.com,"""v=DMARC1; p=reject; pct=100; rua=mailto:dmarc_agg@auth.returnpath.net,mailto:dmarc@fedex.com; ruf=mailto:dmarc_afrf@auth.returnpath.net,mailto:dmarc@fedex.com; fo=1"""
48,PepsiCo,http://www.pepsico.com,pepsico.com,"""v=DMARC1; p=none; fo=1; rua=mailto:itdmarcnotifications@pepsico.com; ruf=mailto:itdmarcnotifications@pepsico.com; rf=afrf; pct=100"""
49,Archer Daniels Midland,http://www.adm.com,adm.com,
50,Prudential Financial,http://www.prudential.com,prudential.com,
51,Centene,http://www.centene.com,centene.com,"""v=DMARC1; p=none; fo=1;"" ""rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
52,Albertsons,http://www.albertsonscompanies.com,albertsonscompanies.com,"""v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1"""
53,Walt Disney,http://www.thewaltdisneycompany.com,thewaltdisneycompany.com,
54,Sysco,http://www.sysco.com,sysco.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
55,HP,http://www.hp.com,hp.com,"""v=DMARC1; p=reject; sp=reject; pct=100; fo=1; rua=mailto:l1rcsnp0@ag.dmarcian.com; ruf=mailto:l1rcsnp0@fr.dmarcian.com;"""
56,Humana,http://www.humana.com,humana.com,"""v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc_rua@humana.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc_ruf@humana.com"""
57,Facebook,http://www.facebook.com,facebook.com,"""v=DMARC1; p=reject; rua=mailto:a@dmarc.facebookmail.com; ruf=mailto:fb-dmarc@datafeeds.phishlabs.com; pct=100"""
58,Caterpillar,http://www.caterpillar.com,caterpillar.com,
59,Energy Transfer,http://www.energytransfer.com,energytransfer.com,"""v=DMARC1; p=quarantine; rua=mailto:dmarc@energytransfer.com; fo=s;"""
60,Lockheed Martin,http://www.lockheedmartin.com,lockheedmartin.com,"""v=DMARC1;p=reject;sp=reject;rua=mailto:lm-rua.dmarc@lmco.com"""
61,Pfizer,http://www.pfizer.com,pfizer.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc.rua@pfizer.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:dmarc.ruf@pfizer.com"""
62,Goldman Sachs Group,http://www.gs.com,gs.com,"""v=DMARC1; p=none; sp=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1"""
63,Morgan Stanley,http://www.morganstanley.com,morganstanley.com,"""v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc-reports@morganstanley.com; ruf=mailto:Dmarc.Ruf@morganstanley.com; sp=none"""
64,Cisco Systems,http://www.cisco.com,cisco.com,"""v=DMARC1; p=quarantine; pct=0; fo=1; ri=3600; rua=mailto:cisco@rua.agari.com; ruf=mailto:cisco@ruf.agari.com"""
65,Cigna,http://www.cigna.com,cigna.com,"""v=DMARC1; p=none; sp=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
66,AIG,http://www.aig.com,aig.com,"""v=DMARC1;p=none; fo=1;rua=mailto:aig@rua.agari.com;ruf=mailto:aig@ruf.agari.com"""
67,HCA Healthcare,www.hcahealthcare.com,hcahealthcare.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
68,American Airlines Group,http://www.aa.com,aa.com,"""v=DMARC1; p=reject; sp=reject; fo=1; ri=3600; rua=mailto:american@rua.agari.com,mailto:dmarc@aa.com; ruf=mailto:american@ruf.agari.com,mailto:dmarc@aa.com"""
69,Delta Air Lines,http://www.delta.com,delta.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
70,Charter Communications,http://www.charter.com,charter.com,
71,New York Life Insurance,http://www.newyorklife.com,newyorklife.com,"""v=DMARC1; p=none; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com; fo=1"""
72,American Express,http://www.americanexpress.com,americanexpress.com,"""v=DMARC1;p=reject;fo=1;rua=mailto:dmarc_agg@auth.returnpath.net;ruf=mailto:dmarc_afrf@auth.returnpath.net"""
73,Nationwide,http://www.nationwide.com,nationwide.com,"""v=DMARC1;"" ""p=none;"" ""fo=1;"" ""rua=mailto:dmarcrua@nationwide.com;"" ""ruf=mailto:dmarcruf@nationwide.com"""
74,Best Buy,http://www.bestbuy.com,bestbuy.com,"""v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
75,Liberty Mutual Insurance Group,http://www.libertymutual.com,libertymutual.com,"""v=DMARC1; p=reject; sp=none; fo=1; pct=100; ri=3600; rua=mailto:lm_rua@libertymutual.com; ruf=mailto:lm_ruf@libertymutual.com"""
76,Merck,http://www.merck.com,merck.com,"""v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:merck@rua.agari.com; ruf=mailto:merck@ruf.agari.com"""
77,Honeywell International,http://www.honeywell.com,honeywell.com,"""v=DMARC1; p=reject; sp=none; adkim=r; aspf=r; fo=1; pct=100; rf=afrf; ri=3600; rua=mailto:honeywell@rua.agari.com; ruf=mailto:honeywell@ruf.agari.com"""
78,United Continental Holdings,http://www.united.com,united.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
79,TIAA,http://www.tiaa.org,tiaa.org,"""v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:tiaa@rua.agari.com; ruf=mailto:tiaa@ruf.agari.com"""
80,Tyson Foods,http://www.tysonfoods.com,tysonfoods.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:svc-dmarc@tyson.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com,mailto:svc-dmarc@tyson.com"""
81,Oracle,http://www.oracle.com,oracle.com,"""v=DMARC1;p=none;rua=mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1"""
82,Allstate,http://www.allstate.com,allstate.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
83,World Fuel Services,http://www.wfscorp.com,wfscorp.com,"""v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:world-fuel-services@rua.agari.com; ruf=mailto:world-fuel-services@ruf.agari.com"""
84,Massachusetts Mutual Life Insurance,http://www.massmutual.com,massmutual.com,"""v=DMARC1; p=reject; sp=none; fo=1; pct=100; ri=3600; rua=mailto:massmutual@rua.agari.com; ruf=mailto:massmutual@ruf.agari.com"""
85,TJX,http://www.tjx.com,tjx.com,"""v=DMARC1; p=none; sp=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; rf=afrf; pct=100; ri=86400"""
86,ConocoPhillips,http://www.conocophillips.com,conocophillips.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc.rua@conocophillips.com;ruf=mailto:dmarc.ruf@conocophillips.com"""
87,Deere,http://www.johndeere.com,johndeere.com,"""v=DMARC1;p=none;fo=1;ri=86400;rua=mailto:dmarc_rua_jd@johndeere.com;ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
88,Tech Data,http://www.techdata.com,techdata.com,"""v=DMARC1; p=none; rua=mailto:o0ljpdxs@ag.dmarcian.eu; ruf=mailto:o0ljpdxs@fr.dmarcian.eu; fo=1; sp=reject"""
89,Enterprise Products Partners,http://www.enterpriseproducts.com,enterpriseproducts.com,
90,Nike,http://www.nike.com,nike.com,"""v=DMARC1; p=none; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
91,Publix Super Markets,http://www.publix.com,publix.com,"""v=DMARC1; p=quarantine; fo=1; rua=mailto:secops@publix.com; ruf=mailto:secops@publix.com"""
92,General Dynamics,http://www.generaldynamics.com,generaldynamics.com,
93,Exelon,http://www.exeloncorp.com,exeloncorp.com,"""v=DMARC1; p=none; rua=mailto:postmaster@exeloncorp.com"""
94,Plains GP Holdings,http://www.plainsallamerican.com,plainsallamerican.com,
95,3M,http://www.3m.com,3m.com,"""v=DMARC1; p=quarantine; fo=1; ri=3600; rua=mailto:3m@rua.dmp.cisco.com; ruf=mailto:3m@ruf.dmp.cisco.com"""
96,AbbVie,http://www.abbvie.com,abbvie.com,"""v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:abbvie@rua.dmp.cisco.com; ruf=mailto:abbvie@ruf.dmp.cisco.com"""
97,CHS,http://www.chsinc.com,chsinc.com,"""v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com"""
98,Capital One Financial,http://www.capitalone.com,capitalone.com,"""v=DMARC1; p=reject; sp=reject; pct=100; rua=mailto:capital-one@rua.agari.com; ruf=mailto:capital-one@ruf.agari.com;"""
99,Progressive,http://www.progressive.com,progressive.com,
100,Coca-Cola,http://www.coca-colacompany.com,coca-colacompany.com,"""v=DMARC1; p=none; pct=100; rua=mailto:dmarcreports@coca-cola.com; ruf=mailto:dmarcreports@coca-cola.com; fo=1"""
